ID;Nombre;Número de parte;Cantidades;Peso(g);Costo unitario($)
92;TVS_IO;IP4252CZ16-8-TTL;51;90;1.94
93;Load Switch, 5.5V, 3A, 44m Ohm, Slew Rate Control, SOT23-5;MT9700;59;101;1.73
94;N-MOS2;FDG63030N;36;69;1.82
95;PNP1;BC856[,215];33;78;1.52
96;Real Time Clock Module with I²C-Bus;RV-3029-C2 OPTION B;38;119;1.65
97;Audio Power OpAmps MSOP-8 RoHS;LN4890MME-G;58;85;1.47
98;P-MOS1;NTTFS5116PLT[A]G;43;115;1.63
99;Dual Schmitt Trigger  Einfach;SN74LVC2G17DBVR, SN74LVC2G17DBV[R];78;45;1.68
100;Spannungswächter invertierend, Vth = 3.08V;APX803S-31SA-7;61;75;1.73
101;P-MOS1;Si1403CDL-T1-GE3;31;59;1.9
102;FLASH FLASH 128Mb (16M x 8) SPI - Dual/Quad I/O SOIC-8_208mil RoHS;W25Q128JVSIQ;80;112;1.56
103;LED Drivers SOT23-6 RoHS;RY3730;54;80;1.93
104;RS-485 & RS-422 MSOP-8 RoHS;SIT3485EUA;32;78;1.76
105;LDO fixed 1A 5V;SSP1117-5.0V;38;119;1.88
106;0.5A Single Channel Current-Limited Power Switch;AP2141FMG-7;65;48;1.46
107;WLAN module, UFL connector;ESP-WROOM-02U;23;73;1.47
108;Shielded;WLPN303015M150PB;28;107;1.56
109;Unshielded;SDR1307-151KL;53;70;1.64
110;Inductor/4.7uH/1.08A;WLPN303015M4R7PB;61;54;1.79
111;SMD-Ferrit Würth 0603;742792645;60;130;1.98
112;Common Mode;744233670;28;58;1.75
113;LED_RGB_PLCC 500mcd;MHPA1515RGBDT-S;80;118;1.91
114;Quarz mit 4 Anschlüssen, 12MHz;7M-12.000MAAJ-T;70;73;1.78
115;R06_0R_50V_1%_100mW;RC0603FR-070RL;57;86;1.99
116;RN_4x220R_50V_5%_62mW;YC124-JR-07220RL;62;70;1.95
117;RN_4x10K_25V_5%_62mW;YC124-JR-0710KL;55;51;1.85
118;RN_4x10K_25V_5%_62mW;YC124-JR-0710KL;77;127;1.58
119;RN_4x1.0K_50V_5%_62mW;YC124-JR-071KL;72;104;1.48
120;R06_1K0_50V_1%_100mW;CR0603-FX-1001ELF;69;119;1.67
121;R06_10K_50V_1%_100mW;RC0603FR-0710KL;33;77;1.87
122;RN_4x22R_50V_5%_62mW;YC124-JR-0722RL;77;91;1.58
123;R06_47K_50V_1%_100mW;RC0603FR-0747KL;58;70;1.93
124;R06_100K_50V_1%_100mW;RC0603FR-07100KL;33;87;1.49
125;RN_4x0R_25V_5%_62mW;TC124-JR-070RL;19;111;1.46
126;R06_20K_75V_1%_100mW;CRCW060320K0FKEA;80;68;1.92
127;R0603;MCT06030E1002B[P1]00;40;106;1.75
128;R06_1K0_50V_1%_100mW;CR0603-FX-1001ELF;27;56;1.91
129;R1206;RC1206FR-[07]10KL;58;86;1.49
130;RN_4x220R_50V_5%_62mW, 4xR0402;YC124-JR-07220RL, YC124-JR-[07]220RL;55;73;1.53
131;R06_220R_50V_1%_100mW;RC0603FR-07220RL;74;109;1.97
132;R06_120R_50V_1%_100mW;RC0603FR-07120RL;23;64;1.65
133;R06_150R_50V_1%_100mW;RC0603FR-07150RL;61;73;1.55
134;R04_1K0_50V_1%_63mW_TK100;RC0402FR-071KL;39;96;1.64
135;R06_20R_75V_1%_100mW;CRCW060320R0FKEA;58;55;1.83
136;R04_27R_50V_1%_63mW_TK100;RC0402FR-0727RL;58;52;1.91
137;R06_100R_50V_1%_100mW;RC0603FR-07100RL;33;123;1.9
138;R06_1M_50V_1%_100mW;RC0603FR-071ML;30;110;1.72
139;PT_NO_TS3625A SMD Tact Switch,3.65x6.1x2.5mm;TS3625A;61;77;1.88
140;FN_34V_400mA_5V_ISP742RI;ISP742RI;67;52;1.66
141;TRANS PREBIAS NPN 246MW SOT23-3;MMUN2214LT1G;52;45;1.5
142;MicroSD Card Holder Würth_693071010811;6.93E+11;80;66;1.9
143;250VAC/3A, 20mOhm;DS1021-1*6SF1-1;59;86;1.62
144;50V/0.5A, 50mOhm, Dual Contact;XF3M-0615-1B;20;100;1.84
145;PINHEADER_180°_RM2.54mm_1Row_2Pin_1A_DS1021-1*2SF1-1B;DS1021-1*2SF1-1B;41;83;1.91
146;50V/1.0A, 40mOhm;SM02B-SRSS-TB(LF)(SN);66;81;1.99
147;Batteriehalter 2032;79527141;41;105;1.88
148;50V/1.0A, 40mOhm;SM04B-SRSS-TB(LF)(SN);63;50;1.6
149;50V/1.0A, 40mOhm;SM08B-SRSS-TB(LF)(SN);66;120;1.62
150;USB micro THT AB vertical;U-E-M5DD-W-2;70;79;1.94
151;PINHEADER_180°_RM2.54mm_1Row_6Pin_1A_DS1021-1*6SF1-1;DS1021-1*6SF1-1;60;91;1.64
152;250VAC/3A, 20mOhm;DS1021-1*2SF1-1;56;100;1.65
153;250VAC/3A, 20mOhm;61300611121;62;64;1.95
154;50V/0.5A, 50mOhm, Dual Contact;XF3M-4015-1B;41;71;1.51
155;WE 61900411121;61900411121;48;122;1.76
156;250VAC/3A, 10mOhm;B18B-PUDSS-1(LF)(SN);54;66;1.99
157;250VAC/3A, 10mOhm;B16B-PUDSS-1(LF)(SN);19;48;1.59
